Min,Q1,Median,Q3,Max,Logging Type,GET/POST,Endpoint Name
33,40,49,50,51,NO,POST,COMPOSE POST
32,35,38,41,42,XLP,POST,COMPOSE POST
27,31,37,38,47,Tracee,POST,COMPOSE POST
17,19,24,26,28,NO,POST,REGISTER USER
13,14,15,15,21,XLP,POST,REGISTER USER
15,15,16,17,19,Tracee,POST,REGISTER USER
18,20,24,26,28,NO,POST,FOLLOW USER
16,17,18,19,20,XLP,POST,FOLLOW USER
17,18,21,22,24,Tracee,POST,FOLLOW USER
32,34,35,37,37,NO,GET,READ USER TIMELINE
19,27,30,30,32,XLP,GET,READ USER TIMELINE
19,23,26,27,30,Tracee,GET,READ USER TIMELINE
22,24,29,30,30,NO,GET,READ HOME TIMELINE
16,19,25,26,29,XLP,GET,READ HOME TIMELINE
17,20,22,25,27,Tracee,GET,READ HOME TIMELINE
20,21,22,26,28,NO,GET,GET FOLLOWERS
18,19,22,24,24,XLP,GET,GET FOLLOWERS
13,14,18,20,21,Tracee,GET,GET FOLLOWERS
